日時,項目,内容,補足
2026-08-09 20:30 JST,道の性質として確定したこと,"(1)この道は人を助けるが誰も裁かない。バーゼル、セドリック、ダミアン、貴族派、孤児院の商人、マグナスの六人が何も失わない。(2)百日で武器も防具も一度も買わず、Day45にブロルンから無料の武器を二度断る。持たずに歩けたことがこの道の中身なので、貰える場面で貰わないことでしか示せない。(3)借りている相手は二十六人で、返したのはDay69のグレン一人だけ。(4)『人から得たものをその人の許しなく武器にしない』を四度、『上から言う以外の伝え方』を六度繰り返す。(5)Day93、七十日前に日付を決めずに交わした約束を守ってフィンを海へ連れて行く。枝Bでも同じ日に果たされる。",one-road-virtue.md
2026-08-09 22:00 JST,最終日の確定,"一本道の最終日はDay100である。最後のトラブルT16はDay80に決着し、Day81〜90は正本の『失敗結果が世界に固定される』期間だが固定される失敗が無く、Day91〜100は借りを返しに歩く十日。Day93が物語の終点で、Day23に日付を決めずに交わした約束を守ってフィン(NPC001)を海へ連れて行く。以後のルートはすべてこのDay100を基礎とする。",one-road-virtue.md
2026-08-09 22:10 JST,他ルート制作の方針,"(1)最終日Day100は全ルート共通。(2)到達するトラブルも十九件すべてで共通とし、違うのは『何で解くか』だけにする。(3)手順は人徳ルートと同じ順で行う——正本の期限列(発生/主要期限/最終悪化)と距離一覧を先に読み、骨格の表を引き、そのあと日ごとの本文を書き、最後に日付・NPC番号・所持金の三点を機械的に検算する。(4)金銭は前日の終値と翌日の始値を一致させ、負の所持金を作らない。食事と宿の値段は正本の価格表のまま(麦粥1G、王都の雑魚寝3G、坑夫定食6G等)。(5)スキルは戦闘にのみ関与させる。会話・調査・労働・トラブル解決には一切関与させない。",docs/trpg/route-branches.md
2026-08-09 22:20 JST,戦闘スキルはモンスターの数値から選ぶ,"推奨スキルを雰囲気で決めない。正本のモンスター一覧の素早さ・防御・HP・魔法耐性・個別デバフ耐性から決める。実例：キングスライムは三段階すべてタグにmana_absorbを持ち、魔法耐性が23→39→59と上がるので魔法は餌になる。HPは472→2318→4798で十倍。個別デバフ耐性は小型がpoison:20のみで麻痺の記載が無く、膨張でparalysis:20、巨大でparalysis:30が付く。したがって『小型のうちに麻痺で足を止めて斧の倍率で削る』が数値から出る唯一の答えになる。素早い相手(赤牙狼・素早さ16)には命中補正+5のスラッシュ、鈍く硬い相手(群れ親・HP554/防御20)には倍率1.65の叩き割り。三つともMP0なので、宿に泊まれない道でも回る。",tools/trpg-sim/fixtures/battle.snapshot.json
2026-08-09 22:30 JST,討伐ルートの骨格を確定,"二本目は討伐ルート。正本のT13解決方法の筆頭『早期発見して小さいうちに倒す』だけを使う。日付が武器になる。分岐点はDay8(T03発生日の最初の戦闘)で、route-branches.mdに書いたDay45は誤りだったので訂正した。Day45では遅く、そして武器はDay1から持っている(正本の初期装備EQP-W-0005農具鉈)。人徳ルートは百日この鉈を一度も振らず『武器を買わなかった』のであって、持っていなかったわけではない。Day8に群れと戦えば何から逃げているかが分かるので、Day20に群れ親を倒し、Day21〜26に森へ入って小型キングスライム(HP472)を討つ。人徳ルートより三十四日早い。",docs/trpg/route-conquest.md
2026-08-09 23:00 JST,解決後の間延びを削り全ルートの長さを揃える,"担当者から『トラブルが解決した後に無駄な時間があるとダレる。100日にこだわる必要は無い』との指示。人徳ルートはDay80に全解決してから二十日を返礼に使っていた。長すぎるので五日に詰め、Day85で幕を引いた。Day86以降は歩かない。規則として『全解決から終幕まで五日以内』『終幕は行き先で束ねて一日一拠点』『目標の総日数はDay85前後』を全ルート共通に定めた。正本の期限で一番遅いのはT19の主要期限Day82・最終悪化Day90なので、Day80前後で全解決しDay85前後で終わるのが上限に近い。早く終わるルートは短くするのではなく難しくする。討伐ルートはDay26に世界樹を助けるので中盤が空くが、空きを埋めるのではなく埋まるだけの困難を置く。なお五日では二十六人のうち十九人にしか返せない。その事実は消さずに道へ残した。",docs/trpg/one-road-virtue.md
2026-08-09 23:15 JST,戦闘の実測・壊れているのはボスだけだった,"担当者の『基礎スキルで難なく倒せても楽しくない』という懸念に対し、正本の式で実測したところ問題は逆だった。式は 武器威力×(1+攻撃/100)×倍率 − 防御×0.6。初期装備の農具鉈(威力19.9)Lv1・叩き割り(倍率1.65)で必要ターン数は、赤牙狼の幼体2・赤牙狼5に対し、群れ親31・小型キングスライム27・膨張キングスライム463。雑魚は二〜五ターンで成立しているが、ボスだけが作業になる。原因は防御を引く式なので武器威力が低いと倍率がほとんど効かないこと。叩き割り1.65とスラッシュ1.25の差が群れ親では31ターンと41ターンにしかならない。規則としてボスは六〜十ターンで終わる形にすることを定めた。",tools/trpg-sim/lib/battle-model.mjs
2026-08-09 23:30 JST,難度調整は正本を変える前に日程で行う,"群れ親(HP554/防御20)を八ターンで倒すには一撃70が要り、逆算すると武器威力40前後・攻撃25前後(Lv6〜8)。したがって討伐ルートはDay20の群れ親までに王都武器屋で斧を買い、幼体と赤牙狼を重ねてLvを上げる。これが前半の内容そのものになる。人徳ルートが労働で日銭を稼いだ十二日を、討伐ルートは武器代を貯めて狩る十二日に使う。正本の数値を変えるのは最後の手段とし、変える場合は理由と数値を残す。候補は小型キングスライムの防御19(下げると倍率が効き始める)と、プレイヤー側のスキル取得条件(スキルは戦闘にのみ関与する規則があるので、緩めても会話は変わらず安全に触れる)。倒せない相手を置くこと自体は正しいので、膨張と巨大は『遅れた場合の姿』として残す。",docs/trpg/route-conquest.md
2026-08-10 00:10 JST,訂正・最終日はDay100ではなくDay85,"このシートの『2026-08-09 22:00 最終日の確定』と『22:10 他ルート制作の方針』はDay100を前提に書いたが、その後の担当者の指示で撤回した。『トラブルが解決した後に無駄な時間があるとダレる。100日にこだわる必要は無い』とのことで、人徳ルートはDay80に全解決してから二十日を返礼に使っていたのを五日に詰め、Day85で幕を引いた。以後の全ルート共通の基礎はDay85であってDay100ではない。シートは追記専用なので上の二行は消さず、この行で訂正する。",docs/trpg/one-road-virtue.md
2026-08-10 00:20 JST,訂正・人徳ルートもDay8に戦っていた,"討伐ルートの分岐を『人徳ルートはDay8の戦いを避けた。この道は受ける』と書いたが誤り。人徳ルートもDay8の21:00に柵の崩れ目で戦っており、借りた手斧・疲労28の状態で左腕に裂傷を負って終わる。その傷がDay9の負傷とDay10〜11の休業を生んでいる。分かれるのは戦うかどうかではなく戦い方である。討伐ルートは自分の農具鉈を使い、戦うためにその日は働かず疲労10前後で臨み、止血草4Gを先に買い、無傷で勝って足跡を追う。同じ敵と同じ夜に戦って、片方は三日を失い、片方は森への入口を得る。差を作るのは剣の腕ではなくその日の昼に何をしていたかである。",docs/trpg/route-conquest.md
2026-08-10 01:00 JST,訂正・ボスのターン数は全部誤りだった,『赤牙狼の群れ親は31ターンの作業』『小型キングスライムは27ターン』とこのシートおよび route-branches.md / route-conquest.md に書いたが、全部誤りなので取り消す。原因は、モンスターのHPを自分の与ダメージで割った数字を『ターン数』と呼んでいたこと。相手が殴り返してくることを式に入れていなかった。正本の戦闘エンジン tools/trpg-sim/lib/battle-simulator.mjs に実際に戦わせ直した結果、群れ親（正本編成 ENC-0006＝親＋赤牙狼×2）は単騎ではLv6〜Lv9で勝率0%、Lv10で18%。作業になるどころか四ターンで殺される。仲間二人（ジル＝狩猟弓Lv7、自警＝村衛兵の長槍Lv4）を連れるとLv8で100%・10ターン・残HP9%、Lv9で100%・9ターン・残HP23%。『ボスは六〜十ターン』という自分で決めた規則に、正本の数値のままちょうど収まっている。,実測は各24〜40回。route-conquest.md / route-branches.md 訂正済み
2026-08-10 01:10 JST,訂正・『素早い相手には命中』は逆だった,戦闘スキルの使い分けを『幼体と赤牙狼には命中+5のスラッシュ、群れ親には1.65倍の叩き割り』と書いたが逆。同条件で片方だけを24回押した実測では、赤牙狼MON-0006に対し叩き割りのみが16勝8敗・4ターン、スラッシュのみが1勝23敗・6ターン。理由は正本の式 武器威力×(1+攻撃/100)×倍率−防御×0.6 が防御を引き算する形であること。倍率が低いと引き算後に残る数字が小さくなり、手数を増やしても差が縮まらない。序盤の斧は当てる回数より一発の重さが常に正しい。,斧ルートの基本は最初から最後まで叩き割り
2026-08-10 01:20 JST,訂正・『武器威力40前後の斧』は正本に存在しない,討伐ルートの骨格に『Day19までに王都武器屋で武器威力40前後の斧を買う』と書いたが、正本の装備性能マスターにそんな斧はTier1に無い。実際は 農具鉈EQP-W-0005が威力19（初期装備・18G）、薪割り斧EQP-W-0006が威力29（32G）、兵用戦斧EQP-W-0015が威力34（125G）、威力47の氷割り斧EQP-W-0069はTier2で北陵要塞155G。買うべきは薪割り斧32Gで、売り場は王都ではなく田園の村LOC_FARM_SQUARE農具修理屋、つまり村の中である。さらに農具鉈は売却率0.45なので18×0.45＝8Gで下取りでき、実質24G。店舗在庫STK-0002には『T02失敗で40G』の価格変動条件があり、討伐ルートも穀倉放火を放置できない理由が値札の形で出る。,兵用戦斧125Gは人徳ルートの生涯収入80Gを超えており到達不能だった
2026-08-10 01:30 JST,訂正・小型キングスライムはDay17で消える,討伐ルートの日程を『Day21〜26に森で小型キングスライムを討つ』と書いたが成立しない。正本の地域別エンカウントは ENC-0015 小型キングスライム（HP472）が開始Day1・終了Day17、ENC-0016 膨張キングスライム（HP2318）が開始Day18。T13の発生はDay1なのでこのDay17は世界の日付そのもの。Day21に大河中流へ立っても居るのは膨張で、実測ではLv14・兵用戦斧・革鎧の単騎でも勝率0%。したがって討伐ルートの締切はDay17に前倒し。T03の主要期限Day20と三日しか離れておらず、田園の村と森は片道七時間（王都経由 R12+R13）。正反対の方向にある二つの締切が、この道の前半の難しさそのものになる。,難度を足す必要は無かった。正本の日付表の中に最初から入っていた
2026-08-10 01:40 JST,制作手順・戦闘を置く前に必ずやること,ルートに戦闘を置く手順を確定した。(1) 正本のエンカウント表で相手の編成と出現窓（開始Day・終了Day）を引く。単体だと思い込まない。(2) 正本のモンスター一覧でHP・攻撃・防御・素早さ・所持G・EXPを引く。(3) 戦闘エンジンに実際に戦わせる。単騎と仲間ありの両方、レベルを振って各24〜40回。(4) 勝率・中央ターン・残HPを見て『六〜十ターンで勝てる最低のレベルと編成』を決める。(5) その水準に到達できるEXPの道筋（正本のexperienceToNextLevel＝100×1.22^(Lv-1)）と、装備を買える金の道筋を日付に落とす。(6) それから本文を書く。置いてから難易度を語らない。数字を先に出す。そして自分の攻撃だけで割らない。,この六手順を踏んだ結果、正本の数値を一つも変えずに討伐ルートが成立した
2026-08-10 01:50 JST,制作手順・難度は敵ではなく期限で作る,担当者から『必要ならモンスターの特性やスキル、プレイヤーのスキルや取得条件を変更してよい』という許可を得たが、討伐ルートでは一つも使わなかった。直したくなった四点はすべて別の原因だった。(a) ボスが作業→私の計算違い。(b) 群れ親に勝てない→単騎で挑ませていた。正本の説明文が『部下を呼び、隊列を崩す』と書いている。(c) 斧の技が開かない→開放条件 weapon.axe.kills>=10 を読んでいなかった。前半の狩りで自然に満たす。(d) 小型スライムが易しい→難しさが日程側にある。ENC-0015の終了Day17を締切に使う。結論として、難度は敵を強くするのではなく『いつ挑ませるか』『誰と挑ませるか』『間に合うか』で作る。正本のキングスライムは一日遅れるとHPが472→2318→4798になる。これ以上に強い難度装置は無い。,他ルートでも同じ方針を取る
2026-08-10 02:00 JST,斧スキル樹の開放条件は『十匹殺す』,正本のスキル設計マスターv4を読むと、斧系はLv1の叩き割りSKL-0049以外すべてflag_unlockedで、鍵は一つ weapon.axe.kills。骨砕きSKL-0055（Lv5・撃破10・物理威力-1段階）、荒割りSKL-0052（Lv5・撃破10＋会心5）、兜割りSKL-0050（Lv6）、処刑人の一撃SKL-0061（Lv6）、防御砕きSKL-0051（Lv7・防御-1段階）、鎧砕きSKL-0054（Lv8・撃破25＋斧技使用50）。討伐ルートのDay9〜Day13はこの十匹を狩る五日として設計した。会心5回は薪割り斧の会心補正+9で自然に満たされる。スキル取得条件に手を入れる必要は無く、正本が最初からこの道を想定している。,スキルは戦闘にのみ関与する規則は維持。会話も労働もスキルで解いていない
2026-08-10 02:10 JST,討伐ルート Day8〜Day20 を通した,本文を書いた。分岐はDay8 05:45の三択一つで、人徳ルートが『見張りへ朝食を配る』（-5G）を取るところを『フィンの地図を見る』にして6Gを残す。その4Gが止血草になり、Day8夜の赤牙狼戦（実測Lv1・農具鉈で16勝8敗・4ターン・残HP19%）で血を止め、人徳ルートが失ったDay9〜11を残す。Day9〜13で十匹狩ってLv5と斧の枝、Day14に農具鉈を下取り（8G）して薪割り斧32Gを買い武器の無い一日、Day15〜16に七時間歩いて森外縁でLv7、Day17に大河中流で小型キングスライム（8ターン・残HP65%・窓の最終日）、Day18〜19に帰り道、Day20に群れ親＋赤牙狼×2を三人で（9ターン・残HP35%・主要期限当日）。検算：所持金の最小値1G・負にならない、空腹の最大値46、戦闘16回、到達Lv12、労働5日（人徳ルートの同期間は13日）。,docs/trpg/route-conquest.md。Day21以降は未着手
2026-08-10 02:20 JST,毛皮と牙の買取価格が正本に無い,『討伐ルートの前半は労働ではなく戦闘が収入源になる』と書いたが言いすぎだった。正本の所持G欄は幼体0〜2G、赤牙狼1〜4G、群れ親5〜12G、小型キングスライム8〜18G。Day9〜13に十頭狩っても20G前後で、薪割り斧の実質24Gに届かない。ドロップのMAT_WOLF_PELTとMAT_RED_FANGは落ちるが、正本の商品・価格表に買取価格の行が無いため、勝手に決めず収入源から外した。結果として討伐ルートも村で働くが、日数は五日（人徳は十三日）で、働く目的が飯代ではなく斧代である。スプレッドシート側で素材買取価格が決まれば、この五日をさらに減らせる。,要判断：素材の買取価格を正本に置くかどうか
